index,time,freq,tau
282,2017-01-04 07:52:02.735000,2.1021699965e+08,3.6378451956e-04
283,2017-01-04 07:57:33.171000,2.1021725582e+08,3.8865036871e-04
284,2017-01-04 08:03:03.865000,2.1021704245e+08,3.8511517793e-04
285,2017-01-04 08:08:34.301000,2.1021714224e+08,3.3623666820e-04
286,2017-01-04 08:14:04.730000,2.1021686133e+08,3.5454154550e-04
287,2017-01-04 08:19:35.411000,2.1021695621e+08,2.9959335180e-04
288,2017-01-04 08:25:05.729000,2.1022089694e+08,3.8572507471e-04
289,2017-01-04 08:30:36.319000,2.1022085134e+08,3.9989867281e-04
290,2017-01-04 08:36:08.284000,2.1022143903e+08,3.2437115789e-04
291,2017-01-04 08:41:38.568000,2.1022132804e+08,4.3218649478e-04
292,2017-01-04 08:47:08.825000,2.1022109792e+08,3.6010340241e-04
293,2017-01-04 08:52:40.031000,2.1022117643e+08,4.0633867794e-04
294,2017-01-04 08:58:10.288000,2.1022119616e+08,3.6663641670e-04
295,2017-01-04 09:03:42.642000,2.1022147704e+08,3.1161223294e-04
296,2017-01-04 09:09:12.816000,2.1022493638e+08,4.5656892366e-04
297,2017-01-04 09:14:42.940000,2.1022553702e+08,4.3830966231e-04
298,2017-01-04 09:20:15.417000,2.1022544555e+08,4.1074354316e-04
299,2017-01-04 09:25:45.522000,2.1022554533e+08,3.4598834440e-04
300,2017-01-04 09:31:15.664000,2.1022566445e+08,4.0584632076e-04
301,2017-01-04 09:36:45.971000,2.1022577966e+08,3.8630713064e-04
302,2017-01-04 09:42:18.063000,2.1022518537e+08,2.9992094166e-04
303,2017-01-04 09:47:48.708000,2.1022562144e+08,4.1472007907e-04
304,2017-01-04 09:53:20.811000,2.1022565059e+08,3.7933242787e-04
305,2017-01-04 09:58:50.991000,2.1022543830e+08,3.6021590617e-04
